"first_h2","h1","pageTitle","random_text_from_the_page","url"
"Charities","","","Charities/NGOs","https://www.hati.my/charities-ngos/"
"Be a Donor","","","Individual Donor/Volunteer","https://www.hati.my/donors-volunteers/"
"Get In touch with us","","","Contact","https://www.hati.my/contact/"
"Locations","","Copy link","
						Back to School Kit Project 2025 (Completed)		","https://www.hati.my/program/back-to-school-kit-project-2025/"
"Background:","","","
						Elderly Foodpack Project		","https://www.hati.my/program/elderly-foodpack-project/"
"Targeted community","","Copy link","
						Back To School Kit Project 2023		","https://www.hati.my/program/back-to-school-kit-project-2023/"
"Targeted community","","Copy link","
						White Cane Donation Project		","https://www.hati.my/program/white-cane-donation-project/"
"","","","","https://www.hati.my/privacy-policy"
"","","","Donations to Hati.my, (Touching Hearts Welfare Society, Kuala Lumpur and Selangor (Persatuan Kebajikan Menyentuh Hati, Kuala Lumpur dan Selangor) (PPM-020-14-27012012)) are NON-REFUNDABLE","https://www.hati.my/refund-policy/"
"","Opportunities anywhere","Volunteer in your community | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/volunteer/all/opportunities?search_radius=50#bypass-nav"
"MAD For Good connects resources to drive deep, exponential impact.","Here's How We Can Serve You!","Home | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/#bypass-nav"
"","Step 1. Create a personal account","Join MAD For Good | MAD For Good","This account will be linked to your organisation, you can change this later.","https://platform.madforgood.org/create-organization"
"","Organisations anywhere","Discover organisations in your city | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/volunteer/organizations"
"What you need to know about the SDGs","17 goals that make the world a better place","SDG | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/sdg"
"","Organisations anywhere","Discover organisations in your city | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/volunteer/all/organizations"
"","Step 1. Create a personal account","Join MAD For Good | MAD For Good","This account will be linked to your organisation, you can change this later.","https://platform.madforgood.org/register?next=%2Fcreate-organization"
"Scope","Content Policy ","MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/content-policy"
"","Privacy Policy","MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/privacy"
"1. APPLICATION OF THESE DEEDMOB TERMS OF USE","Terms and Conditions","MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/terms"
"MAD For Good connects resources to drive deep, exponential impact.","Here's How We Can Serve You!","Home | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/index#bypass-nav"
"","Organisations anywhere","Discover organisations in your city | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/volunteer/organizations#bypass-nav"
"About Acumen Malaysia (TEST)","Acumen Malaysia (TEST)","Acumen Malaysia (TEST) | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Acumen-Malaysia"
"About AFS Malaysia","AFS Malaysia","AFS Malaysia | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/AFSMalaysia"
"About Agathians Shelter","Agathians Shelter","Agathians Shelter | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Agathians-Shelter"
"About AjarLokal Malaysia","AjarLokal Malaysia","AjarLokal Malaysia | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/AjarLokal-Malaysia"
"About Akar Umbi Society","Akar Umbi Society","Akar Umbi Society | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Akar-Umbi-Society"
"About All Women's Action Society (AWAM)","All Women's Action Society (AWAM)","All Women's Action Society (AWAM) | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/All-Womens-Action-Society-AWAM"
"About ASEAN Chapter of ICAP Members","ASEAN Chapter of ICAP Members","ASEAN Chapter of ICAP Members | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/ASEAN-Chapter-of-ICAP-Members"
"About Asia Community Service (ACS)","Asia Community Service (ACS)","Asia Community Service (ACS) | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Asia-Community-Service-ACS"
"About Autism Cafe Project Malaysia","Autism Cafe Project Malaysia","Autism Cafe Project Malaysia | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Autism-Cafe-Project-Malaysia"
"About Bake With Dignity","Bake With Dignity","Bake With Dignity | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Dignity-and-Services-Bake-With-Dignity"
"About BERJAYA University College","BERJAYA University College","BERJAYA University College | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/BERJAYA-University-College"
"About Biji-Biji Initiative","Biji-Biji Initiative","Biji-Biji Initiative | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Biji-Biji-Initiative"
"About BLACK Tribe 2023","BLACK Tribe 2023","BLACK Tribe 2023 | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/leaderonomicsofficial-BLACK-Tribe-2023"
"About BLUE Tribe 2023","BLUE Tribe 2023","BLUE Tribe 2023 | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/leaderonomicsofficial-BLUE-Tribe"
"About Bukit Lawang Trust","Bukit Lawang Trust","Bukit Lawang Trust | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Bukit-Lawang-Trust"
"About Buku Jalanan Chow Kit","Buku Jalanan Chow Kit","Buku Jalanan Chow Kit | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Buku-Jalanan-Chow-Kit"
"About CADS Enhancement Centre","CADS Enhancement Centre","CADS Enhancement Centre | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/CADS-Enhancement-Centre"
"About Centre for Orang Asli Concerns","Centre for Orang Asli Concerns","Centre for Orang Asli Concerns | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Centre-for-Orang-Asli-Concerns"
"Hop in and get upskilled!","MAD Academy","Academy | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/academy#bypass-nav"
"Volunteer for Events","Attend Events","Events | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/events#bypass-nav"
"""It is our business to do good. It's not just about branding or commercial value.""","Enabling Businesses & Corporate Organisations","For Businesses | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/for-businesses#bypass-nav"
"Did You Know? 63% of NGOs cannot survive longer than 6 months without additional funding.","Serving Communities","For Communities | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/for-communities#bypass-nav"
"✨For Volunteers✨","The Volunteer Pool","Volunteer Pool - Sign up! | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/volunteer-pool#bypass-nav"
"","Join MAD For Good","Join MAD For Good | MAD For Good","This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.","https://platform.madforgood.org/register?next=%2F%3FvolunteerOnboard%3Dtrue%26volunteerOnboardRegister%3Dtrue"
"","Opportunities anywhere","Volunteer in your community | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/volunteer/opportunities"
"","Login","Login | MAD For Good","Or","https://platform.madforgood.org/users/volunteer-bank"
"How did we begin?","Our History","Our Story | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/our-story#bypass-nav"
"Insaf Malaysia","English Teacher","English Teacher | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/insafmalaysia/opportunities/English-Teacher/103538#bypass-nav"
"Insaf Malaysia","English Teacher","English Teacher | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/insafmalaysia/opportunities/English-Teacher/103538#bypass-sidebar"
"Opportunities","Insaf Malaysia","Insaf Malaysia | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/insafmalaysia/opportunities"
"Photos","Insaf Malaysia","Insaf Malaysia | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/insafmalaysia/albums"
"","Login","Login | MAD For Good","Or","https://platform.madforgood.org/messages/new?toUsers=3171259&subject=Question+related+to+volunteering+opportunity+%22English+Teacher%22&message=Link%3A+https%3A%2F%2Fplatform.madforgood.org%2Fo%2Finsafmalaysia%2Fopportunities%2FEnglish-Teacher%2F103538%0A%0A"
"","Opportunities anywhere","Volunteer in Kuala Lumpur | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/volunteer/Kuala+Lumpur/opportunities"
"About Insaf Malaysia","Insaf Malaysia","Insaf Malaysia | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/insafmalaysia#bypass-nav"
"About Insaf Malaysia","Insaf Malaysia","Insaf Malaysia | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/insafmalaysia#bypass-sidebar"
"Join us!","Hello from the team!","Our Team | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/our-team#bypass-nav"
